iteration,l0,l25,l50,l75,l90,l99,l100
26,48.93,455.66,746.228,1025.211,1239.591,1631.488,1676.644
27,149.944,507.952,810.325,1082.567,1308.601,1754.954,1783.627
27,24.48,513.741,731.832,929.557,1115.669,1425.062,1784.497
27,32.866,444.669,743.457,930.33,1116.046,1503.494,1599.515
27,31.954,494.781,781.794,1002.8,1171.475,1589.147,1603.782
27,29.03,587.399,796.906,1015.319,1208.445,1431.377,1508.061
27,32.996,517.221,718.167,942.885,1210.703,1601.208,1816.275
27,23.768,502.34,719.516,923.018,1087.412,1415.344,1434.159
27,15.106,253.051,717.005,999.978,1192.73,1583.132,1655.93
27,27.02,478.532,690.734,888.873,1045.64,1285.987,1405.441
27,20.042,528.596,719.796,890.786,1120.518,1318.452,1356.167
28,143.331,614.479,808.411,1010.798,1187.304,1531.525,1582.057
28,56.944,476.29,724.443,944.578,1095.623,1431.247,1591.821
28,8.215,578.252,759.401,946.969,1067.73,1259.413,1575.986
28,26.306,506.931,776.06,1112.053,1436.28,1780.171,1827.859
28,21.828,526.164,775.976,975.107,1092.879,1291.831,1443.709
28,19.703,543.269,774.029,974.614,1121.1,1613.581,1787.539
28,15.981,517.173,754.502,927.814,1079.849,1405.38,1430.128
28,21.53,508.88,801.503,1022.122,1194.042,1550.904,1577.645
28,24.199,508.663,744.58,934.231,1092.284,1436.766,1540.866
28,13.835,502.23,732.987,945.009,1133.923,1363.575,1452.45
29,118.19,623.32,840.614,1056.883,1302.151,1664.865,1774.048
29,15.755,536.031,764.497,922.83,1117.324,1542.961,1593.5
29,46.889,541.219,788.281,1010.662,1258.837,1507.846,1517.904
29,30.325,503.299,726.838,883.634,987.097,1334.719,1347.182
29,16.545,501.929,729.456,933.383,1076.794,1264.292,1294.938
29,44.081,623.242,780.989,936.673,1107.043,1481.797,1520.875
29,16.416,504.796,725.207,860.965,1049.4,1359.274,1499.012
29,36.9,597.582,757.662,903.885,1020.252,1264.099,1395.981
29,28.787,508.363,745.74,932.413,1130.489,1399.379,1418.212
29,26.517,541.665,751.887,929.768,1070.446,1343.392,1358.076
30,185.486,573.126,849.619,1094.057,1308.64,1813.397,1823.694
30,26.961,522.07,745.294,912.214,1110.991,1399.173,1451.477
30,22.432,496.837,695.425,880.264,1051.961,1264.309,1356.815
30,23.795,526.375,760.91,968.704,1154.127,1409.695,1518.313
30,14.847,497.986,714.81,905.708,1106.263,1485.369,1567.039
30,21.994,537.193,765.008,936.06,1134.895,1425.526,1470.895
30,14.788,502.4,746.312,955.484,1086.244,1336.174,1365.095
30,31.925,527.409,726.752,897.966,1059.222,1341.768,1631.811
30,30.296,522.035,755.183,914.145,1046.173,1374.433,1501.517
30,19.043,493.405,756.876,927.226,1124.223,1503.8,1564.495
31,63.981,492.562,811.313,1009.901,1157.809,1464.108,1496.621
31,15.469,205.795,736.512,925.379,1106.637,1364.453,1478.827
31,15.398,508.175,734.989,885.428,1094.949,1473.565,1526.228
31,25.443,511.478,745.997,950.22,1169.415,1584.517,1799.529
31,26.687,380.691,746.197,958.354,1132.834,1308.428,1415.397
31,20.615,448.338,751.436,949.101,1104.704,1370.133,1388.581
31,22.667,509.158,739.432,943.686,1131.115,1343.057,1510.948
31,26.298,531.601,768.109,942.113,1041.109,1293.733,1333.191
31,34.992,487.785,803.634,972.431,1217.34,1560.829,1610.023
31,23.427,506.166,756.466,944.095,1084.995,1450.932,1729.181
32,148.586,485.223,753.807,1202.76,1424.261,1874.546,2017.419
32,26.275,510.056,730.256,900.161,1059.4,1437.577,1448.488
32,22.939,492.844,736.68,887.051,1059.736,1304.312,1330.531
32,21.395,528.408,760.566,1018.034,1149.169,1420.875,1445.746
32,14.718,527.167,775.849,971.857,1136.376,1405.478,1477.871
32,6.614,594.341,767.286,935.975,1076.041,1282.431,1438.315
32,18.58,541.363,736.138,910.951,1122.653,1356.554,1373.84
32,24.837,587.933,812.755,1009.178,1196.848,1473.562,1507.794
32,35.813,580.086,753.807,939.578,1039.982,1255.598,1307.845
32,16.434,505.582,732.348,916.478,1078.792,1370.848,1418.486
33,99.054,594.463,880.832,1052.389,1255.62,1459.34,1515.141
33,17.33,496.203,733.318,906.187,1041.637,1242.344,1280.078
33,37.048,537.266,748.648,921.945,1093.0,1347.016,1369.758
33,25.078,490.618,757.171,956.2,1090.886,1420.767,1530.939
33,22.709,519.049,755.815,948.418,1110.579,1412.123,1466.976
33,25.589,508.086,762.926,916.591,1046.296,1261.329,1364.898
33,22.098,533.163,721.571,921.683,1062.722,1281.728,1386.73
33,12.201,478.344,725.536,995.762,1224.17,1426.653,1528.241
33,15.558,487.836,760.825,1000.0,1187.354,1357.549,1403.392
33,21.73,588.066,738.938,887.713,1025.307,1413.579,1457.694
34,26.75,637.236,824.423,1015.398,1163.282,1376.5,1457.56
34,29.854,527.86,742.163,902.141,1111.454,1389.493,1391.204
34,39.767,626.436,771.935,897.91,1036.32,1174.991,1191.851
34,18.757,516.596,737.423,923.54,1124.534,1522.875,1569.908
34,31.916,492.729,732.215,918.944,1126.339,1424.005,1471.697
34,63.963,512.044,752.788,926.478,1101.06,1406.814,1476.289
34,19.491,526.806,729.464,942.875,1100.824,1368.43,1576.898
34,40.741,508.651,794.7,980.574,1111.928,1278.87,1319.293
34,29.875,564.283,788.464,1015.999,1199.887,1477.551,1817.32
34,18.92,466.265,721.239,888.176,1180.522,1520.474,1557.531
35,86.321,407.526,788.841,981.927,1167.853,1533.691,1536.192
35,34.621,505.804,725.881,900.543,1017.697,1174.159,1241.072
35,30.949,521.001,757.75,1031.712,1290.335,1814.358,1842.874
35,23.431,571.454,760.013,985.343,1199.914,1500.803,1606.158
35,24.055,527.019,727.851,876.635,1031.734,1250.932,1346.857
35,17.179,477.902,685.215,903.859,1076.252,1277.98,1316.39
35,18.687,513.053,741.067,942.275,1209.063,1442.232,1509.356
35,16.531,502.368,732.977,892.232,1103.417,1292.389,1323.451
35,35.505,406.135,724.979,940.25,1134.746,1429.269,1557.878
35,22.219,522.416,768.335,943.595,1094.089,1335.377,1417.53
36,156.295,532.159,829.725,1065.334,1205.476,1471.773,1807.84
36,30.27,516.255,746.67,887.405,1037.122,1238.688,1351.521
36,18.06,511.04,747.171,893.799,1148.143,1418.609,1502.025
36,21.432,523.589,750.149,929.165,1107.944,1492.801,1583.159
36,35.565,483.213,746.776,914.872,1065.6,1363.35,1431.799
36,26.73,566.345,768.606,929.487,1074.24,1378.4,1443.613
36,24.656,494.477,767.402,970.863,1113.663,1397.639,1480.493
36,23.025,496.899,725.072,852.688,1029.293,1407.704,1481.336
36,22.769,533.998,753.6,972.923,1102.411,1340.387,1360.487
36,39.068,506.741,743.069,919.966,1139.074,1543.404,1622.36
37,118.492,627.253,814.075,957.445,1144.653,1374.847,1526.463
37,42.159,510.63,749.822,976.185,1154.208,1475.13,1542.375
37,37.659,561.776,760.167,901.659,1056.294,1289.825,1348.973
37,15.83,594.535,761.155,978.132,1142.24,1397.558,1459.189
37,15.349,578.827,801.824,1033.337,1256.824,1516.842,1525.562
37,15.781,535.104,796.935,1037.567,1199.09,1401.806,1488.387
37,47.595,414.509,692.291,962.949,1267.778,1883.376,1939.941
37,25.145,340.477,737.061,1018.525,1519.256,2217.369,2309.624
37,24.351,524.56,740.814,908.027,1073.893,1392.34,1478.918
37,15.778,590.203,737.063,942.312,1120.596,1356.1,1478.468
38,184.814,471.826,642.181,1077.994,1688.217,2424.009,2441.655
38,35.628,487.863,738.092,986.815,1193.318,1445.799,1448.683
38,27.54,543.622,717.222,879.564,1013.984,1373.139,1477.856
38,26.875,561.866,765.679,905.75,1063.564,1279.663,1307.534
38,29.423,577.456,820.124,1009.324,1168.208,1356.687,1391.743
38,19.739,534.023,766.82,950.846,1114.583,1467.699,1521.25
38,20.228,580.159,811.167,958.593,1103.855,1337.457,1411.62
38,131.681,727.277,886.773,1020.809,1149.515,1375.754,1735.868
38,21.525,474.909,697.863,873.595,1051.175,1386.775,1415.657
38,22.144,552.652,769.849,958.022,1132.596,1395.209,1422.571
39,104.866,467.943,725.345,951.061,1203.868,1646.983,1744.199
39,23.841,509.406,721.719,929.266,1070.617,1328.413,1430.423
39,36.253,487.68,739.898,964.317,1141.322,1462.264,1592.865
39,34.771,432.373,728.493,1003.239,1214.996,1581.407,1593.23
39,19.464,498.789,699.104,895.651,1147.358,1517.622,1627.634
39,34.133,462.473,755.536,999.141,1162.09,1626.254,1635.811
39,30.08,464.763,712.436,901.405,1079.395,1463.373,1543.377
39,31.021,439.067,696.989,939.312,1243.478,1772.209,1891.075
39,21.58,541.789,714.647,940.604,1186.348,1492.215,1600.71
39,16.735,555.096,780.832,963.033,1089.513,1451.319,1536.953
